分類,相對路徑,用途,閱讀對象,交接方式
核心測試,src/utils/garbage-countdown.test.ts,下一班、分類收運、服務日與跨午夜倒數,前端／後端／資料庫,納入交接索引
前端資料與演算法,src/utils/garbage-countdown.ts,分類班表、週期、下一班與跨午夜計算,前端／後端／資料庫,納入交接索引
核心測試,src/utils/garbage-routes.test.ts,路線分組、排序與缺少座標時的斷線,前端／後端／資料庫,納入交接索引
前端資料與演算法,src/utils/garbage-routes.ts,路線分組、官方站序／時間排序及斷線示意,前端／後端／資料庫,納入交接索引
核心測試,src/utils/garbage-status.test.ts,15 分鐘狀態門檻、整分鐘離站、快速篩選與跨日,前端／後端／資料庫,納入交接索引
前端資料與演算法,src/utils/garbage-status.ts,15 分鐘即將抵達及快速篩選判定,前端／後端／資料庫,納入交接索引
核心測試,src/utils/garbage-update.test.ts,政府資料更新驗證與拒絕異常資料,前端／後端／資料庫,納入交接索引
核心測試,src/utils/garbage.test.ts,臺北 CSV、資料品質、時間、座標、距離與 GPS 新鮮度,前端／後端／資料庫,納入交接索引
前端資料與演算法,src/utils/garbage.ts,資料型別、兩市解析、座標、ID、時間與距離,前端／後端／資料庫,納入交接索引
周邊測試,src/utils/maintenance-toast-diff.test.ts,功能登錄、維護或權限測試中的 garbage 案例；非清運核心演算法,前端／後端／資料庫,共用檔案，勿整檔搬移
核心測試,src/utils/new-taipei-garbage.test.ts,新北解析、官方站序、分類服務日與估計離站,前端／後端／資料庫,納入交接索引
設定與依賴,vite.config.ts,API 代理、Vue／Vite 與測試設定,前端／後端／資料庫,共用檔案，勿整檔搬移
